uri,ecartico
https://id.rijksmuseum.nl/31071219,https://www.vondel.humanities.uva.nl/ecartico/persons/4761
http://data.bibliotheken.nl/id/thes/p401480224,https://www.vondel.humanities.uva.nl/ecartico/persons/4202
https://id.rijksmuseum.nl/310184731,https://www.vondel.humanities.uva.nl/ecartico/persons/4202
https://id.rijksmuseum.nl/3106205,https://www.vondel.humanities.uva.nl/ecartico/persons/10067
http://data.bibliotheken.nl/id/thes/p06866544X,https://www.vondel.humanities.uva.nl/ecartico/persons/10067
https://id.rijksmuseum.nl/31011010,https://www.vondel.humanities.uva.nl/ecartico/persons/996
http://data.bibliotheken.nl/id/thes/p071385231,https://www.vondel.humanities.uva.nl/ecartico/persons/996
http://data.bibliotheken.nl/id/thes/p073946842,https://www.vondel.humanities.uva.nl/ecartico/persons/52772
https://id.rijksmuseum.nl/31048852,https://www.vondel.humanities.uva.nl/ecartico/persons/55644
http://data.bibliotheken.nl/id/thes/p068684398,https://www.vondel.humanities.uva.nl/ecartico/persons/55644
https://id.rijksmuseum.nl/31076425,https://www.vondel.humanities.uva.nl/ecartico/persons/5178
http://data.bibliotheken.nl/id/thes/p070197741,https://www.vondel.humanities.uva.nl/ecartico/persons/5178
http://data.bibliotheken.nl/id/thes/p07038505X,https://www.vondel.humanities.uva.nl/ecartico/persons/6968
https://id.rijksmuseum.nl/310107321,https://www.vondel.humanities.uva.nl/ecartico/persons/6968
http://data.bibliotheken.nl/id/thes/p104705566,https://www.vondel.humanities.uva.nl/ecartico/persons/4814
https://id.rijksmuseum.nl/31072265,https://www.vondel.humanities.uva.nl/ecartico/persons/4814
https://id.rijksmuseum.nl/31011386,https://www.vondel.humanities.uva.nl/ecartico/persons/1008
https://id.rijksmuseum.nl/31011387,https://www.vondel.humanities.uva.nl/ecartico/persons/1009
http://data.bibliotheken.nl/id/thes/p337053421,https://www.vondel.humanities.uva.nl/ecartico/persons/3346
https://id.rijksmuseum.nl/31044264,https://www.vondel.humanities.uva.nl/ecartico/persons/3346
http://data.bibliotheken.nl/id/thes/p070724083,https://www.vondel.humanities.uva.nl/ecartico/persons/4849
https://id.rijksmuseum.nl/310172005,https://www.vondel.humanities.uva.nl/ecartico/persons/4849
http://data.bibliotheken.nl/id/thes/p071492577,https://www.vondel.humanities.uva.nl/ecartico/persons/8434
https://id.rijksmuseum.nl/310124769,https://www.vondel.humanities.uva.nl/ecartico/persons/8434
http://data.bibliotheken.nl/id/thes/p069367906,https://www.vondel.humanities.uva.nl/ecartico/persons/13229
http://data.bibliotheken.nl/id/thes/p070780153,https://www.vondel.humanities.uva.nl/ecartico/persons/5204
https://id.rijksmuseum.nl/31076727,https://www.vondel.humanities.uva.nl/ecartico/persons/5204
http://data.bibliotheken.nl/id/thes/p101407149,https://www.vondel.humanities.uva.nl/ecartico/persons/4380
https://id.rijksmuseum.nl/31066857,https://www.vondel.humanities.uva.nl/ecartico/persons/4509
