Community 1 - Period: (1706 - 1802 - Number of books: 79
Name;URI;Begin;End
Histori der Nederlandsche vorsten [...] sedert de regeering van Albert, graaf van Holland, tot den dood van keizer Karel den Vyfden [...] met meer dan duizend historipenningen [...] opgehelderd. ;http://data.bibliotheken.nl/id/nbt/p201972107;1732;1732
Hedendaagsche historie, of Tegenwoordige staat der Vereenigde Nederlanden. XIdedeel. Vervattende eene algemeene beschryving des lands.;http://data.bibliotheken.nl/id/nbt/p284187208;1739;1739
De lof van Gods genadige bestiering [...] voorgesteld in eene leerrede, over [...] I Kron. XXX vers 13 en 14. Ter inwijdinge van het luthersche diakoniehuis te Amsterdam.;http://data.bibliotheken.nl/id/nbt/p186416946;1772;1772
Oorspronkelyk en vermaard konstryk tekenboek.;http://data.bibliotheken.nl/id/nbt/p184218608;1740;1740
"Leeuwendaal hersteld door de vrede; zinnespel.";http://data.bibliotheken.nl/id/nbt/p172961343;1749;1749
Ter eere van den weledelen heere Jasper Bolten Jacobsz. [...] toen zyn edele de capiteins plaats [...] ten tweede maale was toegesegt, dog [...] niet wierd voorgestelt;http://data.bibliotheken.nl/id/nbt/p393201651;1758;1758
Historie van den Amsterdamschen schouwburg;http://data.bibliotheken.nl/id/nbt/p172208483;1772;1772
"Frederik de rechtvaardige; tooneelspel.";http://data.bibliotheken.nl/id/nbt/p170611612;1781;1781
Tafereel van harde winters, doormengd met staatkundige en andere gebeurtenissen van die jaaren, in ons vaderland.;http://data.bibliotheken.nl/id/nbt/p168719592;1784;1784
Description de la fameuse ville d'Amsterdam.;http://data.bibliotheken.nl/id/nbt/p394099974;1740;1749
Beschryving der stad Utrecht.;http://data.bibliotheken.nl/id/nbt/p174825781;1757;1757
Tapisseries de son altesse royale monseigneur le duc d'Orleans, representant l'histoire de Meleagre, decrite au 8. livre des metamorphoses d'Ovide.;http://data.bibliotheken.nl/id/nbt/p305657364;1714;1714
Dichtkundige zinnebeelden.;http://data.bibliotheken.nl/id/nbt/p303276924;1736;1736
Aloude Hollandsche histori der keyzeren, koningen, hertogen en graaven [...] sedert de komst der Batavieren in het thans genaamde Holland, tot de herstelling van 'sgraaven Florents den eerstens zoon.;http://data.bibliotheken.nl/id/nbt/p189643773;1734;1734
Description de la chambre et lit de parade sur lequel le corps de [...] Anne, princesse royale de la Grande-Bretagne [...] a été exposé [...].;http://data.bibliotheken.nl/id/nbt/p23024453X;1759;1759
"Tafereelen, geschilderd door Gerard de Lairesse, in de raadkamer van den hove van justitie van Holland, Zeeland, en Westvriesland; volgens de afteekeningen van Nikolaas Verkolje [...] in't koper gebragt [...]";http://data.bibliotheken.nl/id/nbt/p224248790;1737;1737
Inhuldiging van zijne doorluchtige hoogheid Willem Karel Hendrik Friso [...] als erf-heer van Vlissingen, op den Vden junij MDCCLI.;http://data.bibliotheken.nl/id/nbt/p185355935;1753;1753
Stichtelyke zinnebeelden, en bybel-stoffen.;http://data.bibliotheken.nl/id/nbt/p277309395;1742;1742
Bartholomeus las Casas, treurspel.;http://data.bibliotheken.nl/id/nbt/p170174476;1785;1785
Het groot natuur- en zedekundigh werelttoneel of Woordenboek van meer dan 1200 aeloude Egiptische, Grieksche en Romeinsche zinnebeelden.;http://data.bibliotheken.nl/id/nbt/p14162843X;1743;1743
Beschryving van Amsterdam verkort;http://data.bibliotheken.nl/id/nbt/p283588926;1788;1788
Les avantures de Telemaque, fils d'Ulysse.;http://data.bibliotheken.nl/id/nbt/p167648578;1761;1761
Beschryvinge der stadt Heusden, waar in het begin, aanwasch, en tegenwoordige staat dier stadt verhaalt worden.;http://data.bibliotheken.nl/id/nbt/p235191434;1743;1743
Byzondere aenmerkingen over het aenleggen van pragtige en gemeene landhuizen, lusthoven, plantagien.;http://data.bibliotheken.nl/id/nbt/p271534516;1737;1737
Gedichten.;http://data.bibliotheken.nl/id/nbt/p176866876;1738;1738
De Amstelstroom, in zes zangen.;http://data.bibliotheken.nl/id/nbt/p183978277;1755;1755
Nieuwe atlas, van de voornaamste gebouwen en gezigten der stad Amsterdam.;http://data.bibliotheken.nl/id/nbt/p167743317;1783;1783
Dicht- en zedekundige zinnebeelden en bespiegelingen.;http://data.bibliotheken.nl/id/nbt/p174218176;1770;1770
Lyk-staetsie van haere koninglyke hoogheid Anna, kroon princesse van Groot-Brittannien [...].;http://data.bibliotheken.nl/id/nbt/p230244394;1761;1761
Geschiedenis dier christenen, welke in de Vereenigde Nederlanden onder de protestanten mennoniten genaamd worden.;http://data.bibliotheken.nl/id/nbt/p296985538;1743;1743
Alle de rym-oeffeningen.;http://data.bibliotheken.nl/id/nbt/p398133867;1726;1726
Oeuvres.;http://data.bibliotheken.nl/id/nbt/p304807923;1755;1755
"Verzameling van uitgelezene keurstoffen; handelende over den godsdienst, natuur- schilder- teken- oudheid- redeneer- en dichtkunde.";http://data.bibliotheken.nl/id/nbt/p303364459;1713;1713
Explication historique des principales medailles frapées a l'historie des Provinces-Unies des Pays-Bas.;http://data.bibliotheken.nl/id/nbt/p167690698;1723;1723
David. In twaalf boeken.;http://data.bibliotheken.nl/id/nbt/p191759783;1768;1768
"Schatkamer der Nederlandsse[!] oudheden; of Woordenboek, behelsende Nederlands steden.";http://data.bibliotheken.nl/id/nbt/p15412785X;1737;1737
De graaven van Holland, in jaardichten beschreven.;http://data.bibliotheken.nl/id/nbt/p151302251;1745;1745
Naaukeurige beschryving der uitwendige godtsdienst-plichten, kerk-zeden en gewoontens van alle volkeren der waereldt.;http://data.bibliotheken.nl/id/nbt/p191420778;1727;1727
Het verheerlykt Nederland of Kabinet van hedendaagsche gezigten van steden [...] en [...] gebouwen, in [...] de byzondere Vereenigde Nederlandsche Provinciën [...]. Dienende tot opheldering der beschryvinge van den Tegenwoordigen staat der Vereenigde Nederlanden;http://data.bibliotheken.nl/id/nbt/p204508606;1745;1745
Oorlogskundige beschryving van de veldslagen [...] der drie [...] krygsoversten [...] den prins Eugenius van Savoye, den prins en hertog van Marlborough, en den prins van Oranje- en Nassau-Vriesland.;http://data.bibliotheken.nl/id/nbt/p229719554;1729;1729
Amsterdam, in zyne opkomst, aanwas, geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p18498419X;1760;1760
Community 2 - Period: (1743 - 1816 - Number of books: 24
Name;URI;Begin;End
Traité de l'architecture civile a l'usage des ingenieurs.;http://data.bibliotheken.nl/id/nbt/p198676182;1740;1740
Proeve van kleine gedigten voor kinderen.;http://data.bibliotheken.nl/id/nbt/p397779577;1778;1778
