Community 1 - Period: (1702 - 1800 - Number of books: 123
Name;URI;Begin;End
Inhuldiging van zijne doorluchtige hoogheid Willem Karel Hendrik Friso [...] als erf-heer van Vlissingen, op den Vden junij MDCCLI.;http://data.bibliotheken.nl/id/nbt/p185355935;1753;1753
De herderszangen en mengeldichten.;http://data.bibliotheken.nl/id/nbt/p170673928;1751;1751
Korte en beknopte beschryving van 'sGraavenhaage;http://data.bibliotheken.nl/id/nbt/p175889090;1767;1767
Beschryving der Nederlandsche historipenningen: of beknopt verhaal van 'tgene sedert [...] koning Philips [...] tot het sluyten van den Uytrechtschen vreede, in de zeventien Nederlandsche gewesten is voorgevallen.;http://data.bibliotheken.nl/id/nbt/p224242636;1723;1723
Antiquitates Belgicæ, of Nederlandsche oudtheden.;http://data.bibliotheken.nl/id/nbt/p185267661;1756;1756
Dictionaire historique et critique.;http://data.bibliotheken.nl/id/nbt/p166081558;1740;1740
Lettre sur la sculpture, à monsieur Theod. de Smeth, ancien président des echevins de la ville d'Amsterdam.;http://data.bibliotheken.nl/id/nbt/p184308380;1769;1769
Oberon, zangspel.;http://data.bibliotheken.nl/id/nbt/p303281960;1797;1797
De CL. psalmen des konincklijcken propheten Davids.;http://data.bibliotheken.nl/id/nbt/p843923040;1658;1658
De Amstelstroom, in zes zangen.;http://data.bibliotheken.nl/id/nbt/p183978277;1755;1755
Beschryving van een algemeenen graphometer, zynde een allernaauwkeurigst teken-werktuig, uitgevonden door A.G. Eckhardt.;http://data.bibliotheken.nl/id/nbt/p201973456;1778;1778
Vies des gouverneurs généraux, avec l'abrégé de l'histoire des etablissemens hollandois aux Indes Orientales.;http://data.bibliotheken.nl/id/nbt/p194304000;1763;1763
Nederlands verpligting tot het handhaaven der nuttige maatschappyen en genootschappen in ons vaderland.;http://data.bibliotheken.nl/id/nbt/p155774344;1779;1779
Tafereel van harde winters, doormengd met staatkundige en andere gebeurtenissen van die jaaren, in ons vaderland.;http://data.bibliotheken.nl/id/nbt/p168719592;1784;1784
"De dood van Cesar; trevrspel.";http://data.bibliotheken.nl/id/nbt/p170609448;1737;1737
Kleyne en beknopte atlas, of Tooneel des oorlogs in Europa;http://data.bibliotheken.nl/id/nbt/p31780880X;1753;1753
Proeve van kleine gedigten voor kinderen.;http://data.bibliotheken.nl/id/nbt/p397779577;1778;1778
Het blyde Breda, ofte Kort verhaal van de plegtige intrede van [...] Willem Carel Hendrik Friso [...] op den XIII. van herfst-maand, MDCCXXXVII;http://data.bibliotheken.nl/id/nbt/p238831442;1737;1737
Historie van mejuffouw Sara Burgerhart.;http://data.bibliotheken.nl/id/nbt/p189728973;1782;1782
Lyk-staetsie van haere koninglyke hoogheid Anna, kroon princesse van Groot-Brittannien [...].;http://data.bibliotheken.nl/id/nbt/p230244394;1761;1761
Nieuwe reize van Misson na en door Italien.;http://data.bibliotheken.nl/id/nbt/p203445554;1724;1724
Vaderlandsche historie, vervattende de geschiedenissen der Vereenigde Nederlanden, inzonderheid die van Holland [...]. Vijfde deel, beginnende in't jaar 1529, en eindigende in't jaar 1555.;http://data.bibliotheken.nl/id/nbt/p399358099;1782;1782
De zeetriumph der Bataafsche vryheid, op Doggersbank. Bevochten [...] 1781.;http://data.bibliotheken.nl/id/nbt/p16224553X;1782;1782
Tooneel der Vereenigde Nederlanden, en onderhorige landschappen, geopent in een algemeen historisch, genealogisch, geographisch, en staatkundig woordenboek.;http://data.bibliotheken.nl/id/nbt/p157460614;1725;1725
De lof van Gods genadige bestiering [...] voorgesteld in eene leerrede, over [...] I Kron. XXX vers 13 en 14. Ter inwijdinge van het luthersche diakoniehuis te Amsterdam.;http://data.bibliotheken.nl/id/nbt/p186416946;1772;1772
